MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"Sep 02, 2016 - WAS @ MIN",2016,09/02/2016,WAS,MIN,Away,L,33,7,3,10,30,0,3,0,1,2,50,1,5,6,7,1,1,2,3,-14
"Sep 04, 2016 - WAS @ DAL",2016,09/04/2016,WAS,DAL,Away,W,24,0,0,3,0,0,0,0,0,0,0,1,1,2,2,2,0,0,4,0
"Sep 07, 2016 - WAS vs. CHI",2016,09/07/2016,WAS,CHI,Home,W,21,6,1,5,20,1,4,25,3,4,75,0,3,3,7,0,0,1,2,15
"Sep 09, 2016 - WAS vs. SEA",2016,09/09/2016,WAS,SEA,Home,L,31,12,4,7,57.1,1,2,50,3,5,60,1,3,4,5,2,0,1,3,5
"Sep 11, 2016 - WAS vs. IND",2016,09/11/2016,WAS,IND,Home,L,38,4,1,7,14.3,0,3,0,2,2,100,0,3,3,8,1,1,2,3,-1
"Sep 13, 2016 - WAS @ NYL",2016,09/13/2016,WAS,NYL,Away,W,25,2,1,4,25,0,1,0,0,0,0,0,4,4,4,0,0,3,2,10
"Sep 15, 2016 - WAS @ ATL",2016,09/15/2016,WAS,ATL,Away,L,34,10,4,12,33.3,1,6,16.7,1,3,33.3,0,3,3,7,2,0,4,3,-2
"Sep 18, 2016 - WAS vs. CON",2016,09/18/2016,WAS,CON,Home,L,23,1,0,4,0,0,2,0,1,2,50,0,2,2,3,0,0,0,0,8
"May 14, 2017 - WAS vs. SAN",2017,05/14/2017,WAS,SAN,Home,W,15,4,1,3,33.3,0,0,0,2,2,100,0,0,0,1,0,0,1,1,5
"May 19, 2017 - WAS @ LAS",2017,05/19/2017,WAS,LAS,Away,L,23,7,3,6,50,1,2,50,0,0,0,0,4,4,8,0,0,1,1,-4
"May 21, 2017 - WAS @ SEA",2017,05/21/2017,WAS,SEA,Away,L,19,2,1,3,33.3,0,1,0,0,0,0,0,3,3,0,2,0,0,1,-14
"May 24, 2017 - WAS @ CHI",2017,05/24/2017,WAS,CHI,Away,W,23,7,3,7,42.9,1,2,50,0,0,0,2,2,4,3,0,0,1,4,21
"May 26, 2017 - WAS vs. CHI",2017,05/26/2017,WAS,CHI,Home,W,18,3,1,5,20,0,2,0,1,2,50,0,2,2,2,1,0,1,3,-2
"May 31, 2017 - WAS vs. CON",2017,05/31/2017,WAS,CON,Home,W,16,6,2,3,66.7,0,1,0,2,2,100,0,4,4,0,0,0,0,1,0
"Jun 06, 2017 - WAS @ DAL",2017,06/06/2017,WAS,DAL,Away,W,23,8,3,8,37.5,2,4,50,0,0,0,0,8,8,7,0,0,1,2,17
"Jun 09, 2017 - WAS vs. MIN",2017,06/09/2017,WAS,MIN,Home,L,17,4,1,3,33.3,0,2,0,2,3,66.7,0,1,1,2,0,0,3,1,-10
"Jun 11, 2017 - WAS vs. IND",2017,06/11/2017,WAS,IND,Home,W,20,0,0,2,0,0,0,0,0,0,0,0,2,2,3,1,0,2,4,7
"Jun 18, 2017 - WAS vs. DAL",2017,06/18/2017,WAS,DAL,Home,L,21,0,0,5,0,0,2,0,0,0,0,0,1,1,4,2,0,0,2,3
"Jun 23, 2017 - WAS @ MIN",2017,06/23/2017,WAS,MIN,Away,L,15,7,3,5,60,1,2,50,0,0,0,1,2,3,1,2,0,1,2,-7
"Jun 25, 2017 - WAS @ CHI",2017,06/25/2017,WAS,CHI,Away,W,22,12,4,7,57.1,0,2,0,4,5,80,1,2,3,6,0,1,1,3,22
"Jun 27, 2017 - WAS vs. SEA",2017,06/27/2017,WAS,SEA,Home,W,15,5,1,5,20,1,3,33.3,2,2,100,0,0,0,2,1,0,0,0,6
"Jun 29, 2017 - WAS vs. NYL",2017,06/29/2017,WAS,NYL,Home,W,23,2,1,3,33.3,0,1,0,0,2,0,0,2,2,2,2,0,0,2,21
"Jul 02, 2017 - WAS @ LAS",2017,07/02/2017,WAS,LAS,Away,L,17,2,1,6,16.7,0,3,0,0,0,0,1,2,3,1,0,0,1,2,0
"Jul 05, 2017 - WAS @ PHO",2017,07/05/2017,WAS,PHO,Away,L,13,3,1,4,25,1,3,33.3,0,0,0,0,2,2,3,2,0,1,0,-5
"Jul 08, 2017 - WAS @ CON",2017,07/08/2017,WAS,CON,Away,L,9,3,1,5,20,1,1,100,0,0,0,0,3,3,1,0,0,2,0,-10
"Jul 14, 2017 - WAS @ IND",2017,07/14/2017,WAS,IND,Away,W,19,4,2,6,33.3,0,1,0,0,1,0,1,4,5,2,1,1,0,2,7
