MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"Aug 12, 2025 - NYL @ LAS",2025,08/12/2025,NYL,LAS,Away,W,32,11,5,10,50,1,2,50,0,0,0,0,2,2,2,2,0,1,3,-4
"Aug 13, 2025 - NYL @ LVA",2025,08/13/2025,NYL,LVA,Away,L,32,6,3,9,33.3,0,3,0,0,0,0,1,4,5,4,0,1,2,1,-1
"Aug 16, 2025 - NYL @ MIN",2025,08/16/2025,NYL,MIN,Away,L,28,10,4,8,50,0,2,0,2,2,100,0,4,4,6,1,0,1,5,-4
"Aug 19, 2025 - NYL vs. MIN",2025,08/19/2025,NYL,MIN,Home,W,27,10,4,9,44.4,2,5,40,0,2,0,0,5,5,2,2,0,2,2,8
"Aug 21, 2025 - NYL vs. CHI",2025,08/21/2025,NYL,CHI,Home,L,27,14,5,13,38.5,2,7,28.6,2,3,66.7,1,3,4,5,2,0,2,5,-5
"Aug 23, 2025 - NYL @ ATL",2025,08/23/2025,NYL,ATL,Away,L,25,7,2,6,33.3,0,2,0,3,4,75,0,3,3,1,2,1,3,1,-19
"Aug 30, 2025 - NYL @ PHX",2025,08/30/2025,NYL,PHX,Away,L,31,13,5,10,50,3,6,50,0,0,0,1,3,4,4,0,0,2,1,-14
"Sep 02, 2025 - NYL @ GSV",2025,09/02/2025,NYL,GSV,Away,L,36,19,6,13,46.2,3,7,42.9,4,4,100,1,4,5,4,2,0,3,3,-12
"Sep 05, 2025 - NYL @ SEA",2025,09/05/2025,NYL,SEA,Away,W,31,10,4,6,66.7,2,4,50,0,0,0,0,7,7,6,0,3,2,2,0
"Sep 09, 2025 - NYL vs. WAS",2025,09/09/2025,NYL,WAS,Home,W,30,11,4,9,44.4,1,3,33.3,2,2,100,0,1,1,5,0,0,3,3,16
"Sep 11, 2025 - NYL @ CHI",2025,09/11/2025,NYL,CHI,Away,W,19,2,1,5,20,0,2,0,0,0,0,0,1,1,1,1,0,2,0,9
